byweek,nlabel,platform,product,manufacturer,model,price,ads,in_stock,weight,reviews,rating,calc_rank,calc_inven,calc_promo,calc_ship
01,"HDMilwaukee M18 18-Volt Lithium-Ion Compact Brushless Cordless 1/4 in. Impact Driver Kit W/ (1) 2.0 Ah Battery, Charger & Tool BagMilwaukee",HD,"Milwaukee M18 18-Volt Lithium-Ion Compact Brushless Cordless 1/4 in. Impact Driver Kit W/ (1) 2.0 Ah Battery, Charger & Tool Bag",Milwaukee,2850-21P,99.0,0.0,,2.9,344.0,4.7,6.5,5.0,1.0,2.0
01,HDDEWALT 20-Volt MAX XR Lithium-Ion Cordless Brushless Drill/Impact Combo Kit (2-Tool) with (1) Battery 2Ah and (1) Battery 4AhDEWALT,HD,DEWALT 20-Volt MAX XR Lithium-Ion Cordless Brushless Drill/Impact Combo Kit (2-Tool) with (1) Battery 2Ah and (1) Battery 4Ah,DEWALT,DCK287D1M1,229.0,0.0,,,324.5,4.65,6.5,0.0,0.0,2.0
01,"HDRIDGID 18-Volt Lithium-Ion Cordless Brushless Hammer Drill and Impact Driver 2-Tool Combo Kit with (2) 4.0Ah Batteries, ChargerRIDGID",HD,"RIDGID 18-Volt Lithium-Ion Cordless Brushless Hammer Drill and Impact Driver 2-Tool Combo Kit with (2) 4.0Ah Batteries, Charger",RIDGID,R9205,199.0,0.0,,,1510.0,4.7,9.0,8.0,0.0,2.0
01,"HDKreg K4 Pocket-Hole System with Face Clamp, R3 Drill Guide and Pocket-Hole Screws (50-Pack)Kreg",HD,"Kreg K4 Pocket-Hole System with Face Clamp, R3 Drill Guide and Pocket-Hole Screws (50-Pack)",Kreg,K4H-19,99.97,0.0,,5.5,67.0,4.8,8.5,0.0,0.0,2.0
01,HDMilwaukee SHOCKWAVE Impact Duty Steel Drill and Driver Bit Set (145-Piece)Milwaukee,HD,Milwaukee SHOCKWAVE Impact Duty Steel Drill and Driver Bit Set (145-Piece),Milwaukee,48-32-4079,24.88,0.0,,,220.5,4.6,10.5,0.0,1.0,1.0
01,"HD 18-Volt Lithium-Ion Cordless Drill/Driver and Impact Driver 2-Tool Combo Kit with (2) 2.0 Ah Batteries, Charger, and BagNone",HD," 18-Volt Lithium-Ion Cordless Drill/Driver and Impact Driver 2-Tool Combo Kit with (2) 2.0 Ah Batteries, Charger, and Bag",None,R96021SB,99.0,0.0,,,185.5,4.5,10.0,0.0,1.0,2.0
01,"HDMilwaukee M12 12-Volt Lithium-Ion Cordless Hammer Drill/Impact Driver Combo Kit (2-Tool) W/(2) 1.5Ah Batteries, Charger & BagMilwaukee",HD,"Milwaukee M12 12-Volt Lithium-Ion Cordless Hammer Drill/Impact Driver Combo Kit (2-Tool) W/(2) 1.5Ah Batteries, Charger & Bag",Milwaukee,2497-22,179.0,0.0,,,162.0,4.6,15.5,0.0,0.0,2.0
01,HDMilwaukee SHOCKWAVE IMPACT DUTY Titanium Drill Bit Set (23-Piece)Milwaukee,HD,Milwaukee SHOCKWAVE IMPACT DUTY Titanium Drill Bit Set (23-Piece),Milwaukee,48-89-4631,29.97,0.0,,,869.5,4.5,15.0,16.0,1.0,2.0
01,HDMakita 18-Volt LXT Lithium-Ion 8-Piece Kit Drill/ Impact Drvr/ Circ Saw/ Recip Saw/ Sander/ Impact Wrench/ Blower/ Light 3. 0AhMakita,HD,Makita 18-Volt LXT Lithium-Ion 8-Piece Kit Drill/ Impact Drvr/ Circ Saw/ Recip Saw/ Sander/ Impact Wrench/ Blower/ Light 3. 0Ah,Makita,XT801X1,399.0,0.0,,,51.0,4.7,13.0,0.0,0.0,1.0
01,"HDRYOBI 18-Volt ONE+ Lithium-Ion Cordless 1/2 in. Drill/Driver Kit with (2) 1.5 Ah Batteries, Charger, and BagRYOBI",HD,"RYOBI 18-Volt ONE+ Lithium-Ion Cordless 1/2 in. Drill/Driver Kit with (2) 1.5 Ah Batteries, Charger, and Bag",RYOBI,P215K1,79.0,0.0,,2.65,151.0,4.6,14.0,7.0,0.0,2.0
