HD,city,state,LO,city,state,address,city,store,time,url,zipcode,STATE,STATENS,STATE_NAME,STUSAB,NAME,population,under44_1,under44_2,under44_3,older65_1,older_65_2,income_per_capita,industrial_managers,construction_managers,farmers,realestate,construction_workers,state:1,place
1,Apple Valley,6,1,Apple Valley,6,12218 Apple Valley Rd,Apple Valley,HD,1597100305.76202,https://www.homedepot.com/,92308,6,1779778,California,CA,"Apple Valley town, California",72359,6126,8760,7912,7342,5125,25377,,,,,,6,2364
1,Appleton,55,1,Appleton,55,W3255,Appleton,LOW,1597173809.38378,https://www.lowes.com/,54915,55,1779806,Wisconsin,WI,"Appleton city, Wisconsin",74234,7126,10551,9579,5316,4353,30517,,,,,,55,2375
2,Arlington,48,1,Arlington,48,West Arbrook Boulevard,Arlington,LOW,1597173607.73291,https://www.lowes.com/,76015,48,1779801,Texas,TX,"Arlington city, Texas",392462,43257,60589,52877,25708,14393,27513,,,,,,48,4000
1,Arnold,29,,,,3865 Vogel Rd,Arnold,HD,1597100501.17216,https://www.homedepot.com/,63010,29,1779791,Missouri,MO,"Arnold city, Missouri",21107,1630,3032,2466,1880,1873,29473,,,,,,29,1972
1,Arvada,8,1,Arvada,8,5405,Arvada,LOW,1597172332.95202,https://www.lowes.com/,80002,8,1779779,Colorado,CO,"Arvada city, Colorado",117251,8041,16727,16034,11718,8146,40943,,,,,,8,3455
1,Ashburn,51,,,,43675 Greenway Corp Dr,Ashburn,HD,1597100868.98471,https://www.homedepot.com/,20147,51,1779803,Virginia,VA,"Ashburn CDP, Virginia",50290,3640,6628,7568,2882,2676,53930,,,,,,51,3320
2,Asheville,37,2,Asheville,37,Swannanoa River Road,Asheville,LOW,1597173038.94211,https://www.lowes.com/,28805,37,1027616,North Carolina,NC,"Asheville city, North Carolina",90531,8246,15472,13306,9201,7412,32459,,,,,,37,2140
1,Ashland,39,,,,1060 Sugarbush Drive,Ashland,HD,1597100650.96684,https://www.homedepot.com/,44805,39,1085497,Ohio,OH,"Ashland city, Ohio",20396,3186,2407,2208,1743,1988,24594,,,,,,39,2568
1,Ashland,51,,,,10233 Lakeridge Parkway,Ashland,HD,1597100871.29603,https://www.homedepot.com/,23005,51,1779803,Virginia,VA,"Ashland town, Virginia",7655,1925,792,833,588,618,26080,,,,,,51,3368
1,Ashtabula,39,1,Ashtabula,39,SR 11,Ashtabula,LOW,1597173313.26138,https://www.lowes.com/,44004,39,1085497,Ohio,OH,"Ashtabula city, Ohio",18243,1542,2301,2039,1814,1208,17121,,,,,,39,2638
