weight,reviews,rating,calc_rank,calc_inven,calc_promo,calc_ship
10.5,307.3636363636364,4.781818181818182,21.0,4.181818181818182,0.8181818181818182,2.0
28.6,60.72727272727273,4.509090909090909,21.0,0.8181818181818182,1.0,2.0
14.9,570.0,4.6,21.0,0.0,0.4,2.0
4.75,6.0,4.8,21.0,2.5454545454545454,0.0,2.0
8.15,140.625,4.7,21.0,0.125,0.5,2.0
5.77,92.66666666666667,4.808333333333333,10.583333333333334,0.0,0.0,3.25
9.9,799.7777777777778,4.6,20.333333333333332,9.666666666666666,0.8888888888888888,2.0
2.2,1.0,5.0,21.0,0.0,0.0,2.0
10.4,31.0,4.7,21.0,12.4,0.2,2.0
13.05,44.0,3.6,21.0,0.0,0.0,5.0
3.7999999999999994,3.0833333333333335,4.491666666666666,21.0,0.0,0.0,2.0
8.9,47.0,4.4,21.0,0.0,0.0,2.0
1.46,106.33333333333333,4.5,21.0,0.08333333333333333,0.0,2.0
1.1,1.0,5.0,21.0,9.833333333333334,0.5,2.0
9.55,6.0,4.4,21.0,0.16666666666666666,0.08333333333333333,2.0
18.0,1.0,5.0,21.0,0.75,0.0,7.0
,,,,,,
4.15,83.83333333333333,4.3500000000000005,21.0,0.0,0.0,2.0
4.43,2.0,5.0,21.0,3.9166666666666665,0.0,2.0
3.5499999999999994,930.25,4.4,13.916666666666666,3.0,1.0,2.0
3.5,11.0,4.1,21.0,2.4545454545454546,0.0,2.0
6.099999999999999,125.5,4.5,21.0,10.333333333333334,0.0,2.0
3.05,163.0,4.5,21.0,21.0,1.0,7.0
4.81,616.0,4.6,13.0,3.0,1.0,2.0
,,,,,,
5.75,505.25,4.4,21.0,3.0,1.0,2.0
3.6,740.6666666666666,4.4,6.5,68.75,0.0,4.5
9.4,2166.7,4.4,4.7,24.7,0.8,2.0
4.0,112.58333333333333,4.7250000000000005,4.833333333333333,11.0,1.0,2.0
5.25,1553.75,4.733333333333333,8.5,10.0,0.0,3.25
7.4,492.5,4.6,17.0,3.0,0.0,2.0
57.0,477.0,4.4,15.0,0.0,0.0,2.0
4.43,854.125,4.7,11.0,3.0,1.0,3.875
1.7,431.0,4.4,18.0,27.0,1.0,2.0
3.3,36.0,4.6,21.0,50.0,0.0,7.0
,,,,,,
7.41,358.1818181818182,4.627272727272727,15.272727272727273,3.0,1.0,2.0
9.22,200.0,4.6,16.0,3.0,1.0,2.0
2.2,137.0,4.6750625,15.25,0.0,1.0,7.0
5.94,8.0,4.0,21.0,0.0,0.0,7.0
3.0,18.0,4.8333,14.0,0.0,0.0,7.0
5.2,66.0,4.3,21.0,0.0,0.0,7.0
3.0,404.0,4.6,21.0,0.0,0.0,2.0
3.53,6.0,4.8,14.0,12.0,0.375,7.0
0.0,23.428571428571427,4.3428571428571425,16.714285714285715,10.571428571428571,1.0,7.0
5.2,4.0,4.3,17.333333333333332,10.0,1.0,2.0
49.0,7.0,4.7,19.571428571428573,12.0,1.0,7.0
4.0,10.0,5.0,21.0,12.0,1.0,2.0
16.9,477.45454545454544,4.654545454545455,21.0,13.0,0.0,7.0
,,,,,,
8.45,249.14285714285714,4.8,21.0,9.857142857142858,0.5714285714285714,2.0
5.78,316.0,4.6,20.428571428571427,3.0,1.0,2.0
4.8,306.77777777777777,4.3,21.0,0.0,0.0,2.0
2.95,230.0,4.5,21.0,1.0,1.0,2.0
3.4,153.0,4.793085714285715,19.857142857142858,2.0,0.0,2.0
8.0,447.2857142857143,4.6,21.0,1.5714285714285714,0.0,2.0
60.63,4.0,4.0,20.0,12.0,1.0,7.0
7.45,158.0,4.5,21.0,1.0,0.0,7.0
4.79,26.285714285714285,4.6,21.0,7.285714285714286,0.0,5.571428571428571
40.0,1.6666666666666667,4.0,21.0,0.0,0.0,7.0
5.75,508.8,4.7,21.0,4.6,1.0,2.0
9.66,390.0,4.5,15.428571428571429,3.0,0.0,2.0
3.65,57.4,4.5,17.8,6.5,1.0,4.5
7.85,399.85714285714283,4.7,18.285714285714285,12.428571428571429,1.0,2.7142857142857144
31.3,7.0,4.1,21.0,3.4,1.0,5.0
9.63,44.5,4.8,21.0,12.0,0.0,2.0
4.6,263.57142857142856,4.514285714285714,21.0,5.571428571428571,1.0,2.7142857142857144
17.15,17.5,4.5,21.0,7.75,1.0,4.5
5.91,9.545454545454545,5.0,21.0,4.2727272727272725,0.09090909090909091,3.8181818181818183
1.25,12.25,4.95,21.0,20.0,0.0,7.0
8.25,750.6666666666666,4.6,9.333333333333334,4.0,0.6666666666666666,7.0
410.0,37.0,4.1351,17.444444444444443,1.0,0.0,7.0
3.4,6180.0,4.5,3.0,0.0,1.0,2.0
2.0,30.4,4.8,21.0,0.0,0.0,7.0
3.25,597.0,4.7,13.0,16.0,0.0,2.0
4.5,117.0,4.5,2.0,12.0,1.0,3.0
7.0,140.0,4.6,5.6,12.0,1.0,7.0
31.3,98.0,4.5,21.0,5.0,1.0,2.0
4.1,16.0,4.1,21.0,0.0,0.0,7.0
3.75,775.0,4.6,21.0,0.0,0.0,2.0
3.6,4.0,3.8,12.0,12.0,0.0,2.0
4.31,13.0,4.5,17.75,6.5,1.0,7.0
4.35,40.0,4.0,21.0,0.0,0.0,2.0
4.35,329.25,4.5,20.75,2.5,1.0,2.0
6.0,87.0,4.7011,2.0,2.0,0.0,2.0
6.9,70.0,4.5286,6.0,2.0,0.0,2.0
3.325,124.0,4.3952,8.0,5.0,0.0,2.0
3.17,55.0,4.7273,15.0,12.0,0.0,2.0
4.0,268.0,4.7612,16.0,18.0,1.0,2.0
3.3,85.0,4.6235,17.0,1.0,0.0,2.0
5.1,82.0,4.4878,18.0,1.0,1.0,7.0
2.75,59.0,4.1186,19.0,6.0,0.0,7.0
4.9,34.0,4.6,21.0,0.0,0.0,2.0
2.95,46.0,4.3,21.0,0.0,0.0,7.0
5.089,5.0,3.8,21.0,0.0,0.0,7.0
